city,year,pop_
Ageo,1995,206090
Ageo,2000,212947
Ageo,2005,220232
Ageo,2010,223926
Ageo,2015,225196
Akashi,1995,287606
Akashi,2000,293117
Akashi,2005,291027
Akashi,2010,290959
Akashi,2015,293409
Akita,1995,331597
Akita,2000,336646
Akita,2005,333109
Akita,2010,323600
Akita,2015,315814
Amagasaki,1995,488586
Amagasaki,2000,466187
Amagasaki,2005,462647
Amagasaki,2010,453748
Amagasaki,2015,452563
Anjo,1995,149464
Anjo,2000,158824
Anjo,2005,170250
Anjo,2010,178691
Anjo,2015,184140
Aomori,1995,314917
Aomori,2000,318732
Aomori,2005,311386
Aomori,2010,299520
Aomori,2015,287648
Asahikawa,1995,360568
Asahikawa,2000,359536
Asahikawa,2005,355004
Asahikawa,2010,347095
Asahikawa,2015,339605
Atsugi,1995,208627
Atsugi,2000,217369
Atsugi,2005,222403
Atsugi,2010,224420
Atsugi,2015,225714
Chiba,1995,856878
Chiba,2000,887164
Chiba,2005,924319
Chiba,2010,961749
Chiba,2015,971882
Chigasaki,1995,212874
Chigasaki,2000,220809
Chigasaki,2005,228420
Chigasaki,2010,235081
Chigasaki,2015,239348
Chofu,1995,198574
Chofu,2000,204759
Chofu,2005,216119
Chofu,2010,223593
Chofu,2015,229061
Fucho,1995,216211
Fucho,2000,226769
Fucho,2005,245623
Fucho,2010,255506
Fucho,2015,260274
Fuji,1995,246985
Fuji,2000,251559
Fuji,2005,253297
Fuji,2010,254027
Fuji,2015,248399
Fujisawa,1995,368651
Fujisawa,2000,379185
Fujisawa,2005,396014
Fujisawa,2010,409657
Fujisawa,2015,423894
Fukui,1995,272970
Fukui,2000,269557
Fukui,2005,269144
Fukui,2010,266796
Fukui,2015,265904
Fukuoka,1995,1284836
Fukuoka,2000,1341470
Fukuoka,2005,1401279
Fukuoka,2010,1463743
Fukuoka,2015,1538681
Fukushima,1995,292696
Fukushima,2000,297894
Fukushima,2005,297357
Fukushima,2010,292590
Fukushima,2015,294247
Fukuyama,1995,453791
Fukuyama,2000,456908
Fukuyama,2005,459087
Fukuyama,2010,461357
Fukuyama,2015,464811
Funabashi,1995,540817
Funabashi,2000,550074
Funabashi,2005,569835
Funabashi,2010,609040
Funabashi,2015,622890
Gifu,1995,418574
Gifu,2000,415085
Gifu,2005,413367
Gifu,2010,413136
Gifu,2015,406735
Hachinohe,1995,249358
Hachinohe,2000,248608
Hachinohe,2005,244700
Hachinohe,2010,237615
Hachinohe,2015,231257
Hachioji,1995,503363
Hachioji,2000,536046
Hachioji,2005,560012
Hachioji,2010,580053
Hachioji,2015,577513
Hadano,1995,164722
Hadano,2000,168142
Hadano,2005,168317
Hadano,2010,170145
Hadano,2015,167378
Hakodate,1995,318308
Hakodate,2000,305311
Hakodate,2005,294264
Hakodate,2010,279127
Hakodate,2015,265979
Hamamatsu,1995,766832
Hamamatsu,2000,786306
Hamamatsu,2005,804032
Hamamatsu,2010,800866
Hamamatsu,2015,797980
Higashihiroshima,1995,165153
Higashihiroshima,2000,175346
Higashihiroshima,2005,184430
Higashihiroshima,2010,190135
Higashihiroshima,2015,192907
Higashiosaka,1995,517232
Higashiosaka,2000,515094
Higashiosaka,2005,513821
Higashiosaka,2010,509533
Higashiosaka,2015,502784
Himeji,1995,527854
Himeji,2000,534969
Himeji,2005,536232
Himeji,2010,536270
Himeji,2015,535664
Hino,1995,166537
Hino,2000,167942
Hino,2005,176538
Hino,2010,180052
Hino,2015,186283
Hirakata,1995,400144
Hirakata,2000,402563
Hirakata,2005,404044
Hirakata,2010,407978
Hirakata,2015,404152
